url,title,img_url,year,rating,ratings_num,5_star,4_star,3_star,2_star,1_star,imdb_id
https://movie.douban.com/subject/25852314/,蜜月酒店杀人事件,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2346589849.jpg,2016,3.5,1702,2.10%,2.80%,14.40%,28.90%,0.519,tt5914618
https://movie.douban.com/subject/25858763/,糖果世界大冒险,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2353673514.jpg,2015,4.5,266,4.90%,7.30%,26.00%,30.10%,0.317,
https://movie.douban.com/subject/26782625/,小蚂蚁之环球大冒险,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2355657156.jpg,2016,4,138,3.80%,10.30%,16.70%,19.20%,0.5,
https://movie.douban.com/subject/25886441/,妖医,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2349275505.jpg,2016,3.5,760,1.30%,4.20%,13.70%,32.10%,0.488,tt4230294
https://movie.douban.com/subject/25980222/,山那边有匹马,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2352359269.jpg,2015,5.6,227,3.60%,24.10%,36.50%,21.90%,0.139,tt5086506
https://movie.douban.com/subject/26613359/,水果宝贝之水果总动员,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2355856200.jpg,2016,2.7,160,1.90%,0.90%,9.30%,8.40%,0.794,
https://movie.douban.com/subject/26796681/,斗龙战士之星印罗盘,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2354707516.jpg,2016,3.3,184,3.60%,4.50%,12.60%,13.50%,0.658,
https://movie.douban.com/subject/26801581/,动植物大战,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2355521226.jpg,2016,2.9,90,1.80%,3.50%,7.00%,14.00%,0.737,
https://movie.douban.com/subject/25786060/,X战警：天启 X-Men: Apocalypse,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2352321614.jpg,2016,7.8,181631,24.70%,45.40%,26.40%,3.00%,0.006,tt3385516
https://movie.douban.com/subject/24826968/,记忆碎片,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2355447952.jpg,2016,3.7,1309,2.10%,6.30%,16.90%,23.30%,0.514,tt5904956
https://movie.douban.com/subject/26756911/,死亡游戏,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2355446927.jpg,2016,3,425,2.10%,2.40%,7.90%,18.20%,0.695,
https://movie.douban.com/subject/2131940/,魔兽 Warcraft,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2345947329.jpg,2016,7.7,174050,29.30%,37.60%,26.20%,4.80%,0.021,tt0803096
https://movie.douban.com/subject/26786108/,泰迪熊之玩具大战,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2346212678.jpg,2016,2.4,2029,2.00%,0.90%,2.10%,4.00%,0.91,tt5768558
https://movie.douban.com/subject/26775951/,我们毕业啦,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2336879104.jpg,2016,2.7,622,2.00%,2.20%,3.50%,12.90%,0.794,
https://movie.douban.com/subject/11524967/,海底总动员2：多莉去哪儿 Finding Dory,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2356015154.jpg,2016,7.3,49896,16.50%,40.80%,36.70%,5.10%,0.01,tt2277860
https://movie.douban.com/subject/26792822/,我叫MT之山口山战记,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2359518939.jpg,2016,4.9,2017,6.50%,9.20%,29.40%,30.10%,0.247,tt6449912
https://movie.douban.com/subject/26642228/,筷仙,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2360744486.jpg,2016,2.5,1034,2.70%,1.80%,2.50%,5.20%,0.878,
https://movie.douban.com/subject/26589483/,山花烂漫时,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2357198985.jpg,2016,2.6,52,0.00%,3.10%,0.00%,18.80%,0.781,
https://movie.douban.com/subject/25931980/,海洋之恋,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2357429658.jpg,2016,3.4,106,10.00%,1.70%,8.30%,8.30%,0.717,
https://movie.douban.com/subject/25803264/,当流星划过天际,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2355478463.jpg,2015,2.5,76,2.10%,0.00%,4.20%,10.40%,0.833,
https://movie.douban.com/subject/26806651/,练胆儿,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2356789749.jpg,2016,4.6,259,6.70%,10.10%,23.50%,24.00%,0.358,
https://movie.douban.com/subject/26605823/,南口1937,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2361922649.jpg,2016,3.5,104,8.10%,4.10%,9.50%,9.50%,0.689,
https://movie.douban.com/subject/4811813/,独立日2：卷土重来 Independence Day: Resurgence,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2362976267.jpg,2016,5.7,74079,4.40%,16.00%,46.00%,25.40%,0.081,tt1628841
https://movie.douban.com/subject/25662337/,惊天魔盗团2 Now You See Me 2,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2355440566.jpg,2016,6.5,121836,8.50%,27.20%,47.80%,13.70%,0.029,tt3110958
https://movie.douban.com/subject/26822683/,勇士,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2390260819.jpg,2016,5.4,2705,10.20%,17.20%,31.80%,16.40%,0.245,
https://movie.douban.com/subject/26873291/,T台魔王,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2388403230.jpg,2016,2.4,104,0.00%,0.00%,3.70%,11.10%,0.852,
https://movie.douban.com/subject/26854554/,爱上处女座,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2388635693.jpg,2016,2.6,210,0.00%,0.00%,7.30%,17.10%,0.756,
https://movie.douban.com/subject/26890173/,四渡赤水,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2388072032.jpg,2016,2.5,578,4.80%,0.00%,0.00%,4.80%,0.905,
https://movie.douban.com/subject/25789402/,侠探杰克：永不回头 Jack Reacher: Never Go Back,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2382529090.jpg,2016,5.9,18861,3.10%,14.90%,60.00%,19.30%,0.027,tt3393786
https://movie.douban.com/subject/25825412/,机械师2：复活 Mechanic: Resurrection,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2385311728.jpg,2016,5.6,49608,3.90%,13.30%,48.00%,27.80%,0.069,tt3522806
https://movie.douban.com/subject/26220722/,惊天破,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2390833166.jpg,2016,3.9,15237,1.10%,3.20%,21.20%,37.60%,0.37,tt5618870
https://movie.douban.com/subject/26602966/,凶手还未睡 兇手還未睡,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2388873185.jpg,2016,4,1592,0.80%,4.10%,20.40%,43.00%,0.317,tt5613848
https://movie.douban.com/subject/25931246/,龙珠Z：复活的弗利萨 ドラゴンボールZ 復活のF,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2389784085.jpg,2015,5.6,7518,4.10%,13.80%,48.80%,25.90%,0.073,tt3819668
https://movie.douban.com/subject/26266928/,热血雷锋侠之激情营救,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2390260029.jpg,2016,2.3,651,3.10%,0.00%,0.00%,1.60%,0.953,
https://movie.douban.com/subject/24867829/,杠上开花,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2388393157.jpg,2016,3.6,313,1.90%,5.60%,14.80%,27.80%,0.5,
https://movie.douban.com/subject/26897495/,大会师,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2391136541.jpg,2016,3,242,6.90%,3.40%,3.40%,3.40%,0.828,
